4119,"por","Dallin H. Oaks","sunday-morning",2024,4,3,6,"Dallin H. Oaks","/general-conference/2024/04/47oaks","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4070-dallin-h-oaks-32k-por.mp3"
4119,"spa","Dallin H. Oaks","sunday-morning",2024,4,3,6,"Dallin H. Oaks","/general-conference/2024/04/47oaks","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4070-dallin-h-oaks-32k-spa.mp3"
4118,"eng","Brian K. Taylor","sunday-morning",2024,4,3,5,"Swallowed Up in the Joy of Christ","/general-conference/2024/04/46taylor","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4060-brian-k-taylor-32k-eng.mp3"
4118,"por","Brian K. Taylor","sunday-morning",2024,4,3,5,"Brian K. Taylor","/general-conference/2024/04/46taylor","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4060-brian-k-taylor-32k-por.mp3"
4118,"spa","Brian K. Taylor","sunday-morning",2024,4,3,5,"Brian K. Taylor","/general-conference/2024/04/46taylor","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4060-brian-k-taylor-32k-spa.mp3"
4117,"eng","Patrick Kearon","sunday-morning",2024,4,3,4,"God’s Intent Is to Bring You Home","/general-conference/2024/04/45kearon","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4050-patrick-kearon-32k-eng.mp3"
4117,"por","Patrick Kearon","sunday-morning",2024,4,3,4,"Patrick Kearon","/general-conference/2024/04/45kearon","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4050-patrick-kearon-32k-por.mp3"
4117,"spa","Patrick Kearon","sunday-morning",2024,4,3,4,"Patrick Kearon","/general-conference/2024/04/45kearon","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4050-patrick-kearon-32k-spa.mp3"
4116,"eng","Paul B. Pieper","sunday-morning",2024,4,3,3,"Trust in the Lord","/general-conference/2024/04/44pieper","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4040-paul-b-pieper-32k-eng.mp3"
4116,"por","Paul B. Pieper","sunday-morning",2024,4,3,3,"Confia no Senhor","/general-conference/2024/04/44pieper","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4040-paul-b-pieper-32k-por.mp3"
4116,"spa","Paul B. Pieper","sunday-morning",2024,4,3,3,"Confíen en el Señor","/general-conference/2024/04/44pieper","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4040-paul-b-pieper-32k-spa.mp3"
4115,"eng","Dale G. Renlund","sunday-morning",2024,4,3,2,"The Powerful, Virtuous Cycle of the Doctrine of Christ","/general-conference/2024/04/43renlund","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4030-dale-g-renlund-32k-eng.mp3"
4115,"por","Dale G. Renlund","sunday-morning",2024,4,3,2,"Dale G. Renlund","/general-conference/2024/04/43renlund","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4030-dale-g-renlund-32k-por.mp3"
4115,"spa","Dale G. Renlund","sunday-morning",2024,4,3,2,"El poderoso ciclo virtuoso de la doctrina de Cristo","/general-conference/2024/04/43renlund","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4030-dale-g-renlund-32k-spa.mp3"
4114,"eng","Susan H. Porter","sunday-morning",2024,4,3,1,"Pray, He Is There","/general-conference/2024/04/42porter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4020-susan-h-porter-32k-eng.mp3"
4114,"por","Susan H. Porter","sunday-morning",2024,4,3,1,"Orem, Deus perto está","/general-conference/2024/04/42porter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4020-susan-h-porter-32k-por.mp3"
4114,"spa","Susan H. Porter","sunday-morning",2024,4,3,1,"Oren; Él está ahí","/general-conference/2024/04/42porter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4020-susan-h-porter-32k-spa.mp3"
4113,"eng","Ronald A. Rasband","sunday-morning",2024,4,3,0,"Words Matter","/general-conference/2024/04/41rasband","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4010-ronald-a-rasband-32k-eng.mp3"
4113,"por","Ronald A. Rasband","sunday-morning",2024,4,3,0,"As palavras importam","/general-conference/2024/04/41rasband","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4010-ronald-a-rasband-32k-por.mp3"
4113,"spa","Ronald A. Rasband","sunday-morning",2024,4,3,0,"Las palabras importan","/general-conference/2024/04/41rasband","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-4010-ronald-a-rasband-32k-spa.mp3"
4112,"eng","Dieter F. Uchtdorf","saturday-evening",2024,4,2,4,"A Higher Joy","/general-conference/2024/04/35uchtdorf","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3050-dieter-f-uchtdorf-32k-eng.mp3"
4112,"por","Dieter F. Uchtdorf","saturday-evening",2024,4,2,4,"Dieter F. Uchtdorf","/general-conference/2024/04/35uchtdorf","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3050-dieter-f-uchtdorf-32k-por.mp3"
4112,"spa","Dieter F. Uchtdorf","saturday-evening",2024,4,2,4,"Dieter F. Uchtdorf","/general-conference/2024/04/35uchtdorf","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3050-dieter-f-uchtdorf-32k-spa.mp3"
4111,"eng","Matthew L. Carpenter","saturday-evening",2024,4,2,3,"Fruit That Remains","/general-conference/2024/04/34carpenter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3040-matthew-l-carpenter-32k-eng.mp3"
4111,"por","Matthew L. Carpenter","saturday-evening",2024,4,2,3,"Matthew L. Carpenter","/general-conference/2024/04/34carpenter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3040-matthew-l-carpenter-32k-por.mp3"
4111,"spa","Matthew L. Carpenter","saturday-evening",2024,4,2,3,"El fruto que permanece","/general-conference/2024/04/34carpenter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3040-matthew-l-carpenter-32k-spa.mp3"
4110,"eng","Andrea Muñoz Spannaus","saturday-evening",2024,4,2,2,"Faithful to the End","/general-conference/2024/04/33spannaus","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3030-andrea-munoz-spannaus-32k-eng.mp3"
4110,"por","Andrea Muñoz Spannaus","saturday-evening",2024,4,2,2,"Fiéis até o fim","/general-conference/2024/04/33spannaus","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3030-andrea-munoz-spannaus-32k-por.mp3"
4110,"spa","Andrea Muñoz Spannaus","saturday-evening",2024,4,2,2,"Andrea M. Spannaus","/general-conference/2024/04/33spannaus","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3030-andrea-munoz-spannaus-32k-spa.mp3"
4109,"eng","Steven R. Bangerter","saturday-evening",2024,4,2,1,"Foreordained to Serve","/general-conference/2024/04/32bangerter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3020-steven-r-bangerter-32k-eng.mp3"
4109,"por","Steven R. Bangerter","saturday-evening",2024,4,2,1,"Steven R. Bangerter","/general-conference/2024/04/32bangerter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3020-steven-r-bangerter-32k-por.mp3"
4109,"spa","Steven R. Bangerter","saturday-evening",2024,4,2,1,"Steven R. Bangerter","/general-conference/2024/04/32bangerter","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3020-steven-r-bangerter-32k-spa.mp3"
4108,"eng","Shayne M. Bowen","saturday-evening",2024,4,2,0,"Miracles, Angels, and Priesthood Power","/general-conference/2024/04/31bowen","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3010-shayne-m-bowen-32k-eng.mp3"
4108,"por","Shayne M. Bowen","saturday-evening",2024,4,2,0,"Shayne M. Bowen","/general-conference/2024/04/31bowen","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3010-shayne-m-bowen-32k-por.mp3"
4108,"spa","Shayne M. Bowen","saturday-evening",2024,4,2,0,"Milagros, ángeles y el poder del sacerdocio","/general-conference/2024/04/31bowen","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-3010-shayne-m-bowen-32k-spa.mp3"
4107,"eng","Quentin L. Cook","saturday-afternoon",2024,4,1,6,"Be One with Christ","/general-conference/2024/04/27cook","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2070-quentin-l-cook-32k-eng.mp3"
4107,"por","Quentin L. Cook","saturday-afternoon",2024,4,1,6,"Sejam um com Cristo","/general-conference/2024/04/27cook","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2070-quentin-l-cook-32k-por.mp3"
4107,"spa","Quentin L. Cook","saturday-afternoon",2024,4,1,6,"Quentin L. Cook","/general-conference/2024/04/27cook","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2070-quentin-l-cook-32k-spa.mp3"
4106,"eng","Michael T. Nelson","saturday-afternoon",2024,4,1,5,"In Support of the Rising Generation","/general-conference/2024/04/26nelson","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2060-michael-t-nelson-32k-eng.mp3"
4106,"por","Michael T. Nelson","saturday-afternoon",2024,4,1,5,"Apoiar a nova geração","/general-conference/2024/04/26nelson","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2060-michael-t-nelson-32k-por.mp3"
4106,"spa","Michael T. Nelson","saturday-afternoon",2024,4,1,5,"Michael T. Nelson","/general-conference/2024/04/26nelson","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2060-michael-t-nelson-32k-spa.mp3"
4105,"eng","Gerrit W. Gong","saturday-afternoon",2024,4,1,4,"All Things for Our Good","/general-conference/2024/04/25gong","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2050-gerrit-w-gong-32k-eng.mp3"
4105,"por","Gerrit W. Gong","saturday-afternoon",2024,4,1,4,"Todas as coisas para o nosso bem","/general-conference/2024/04/25gong","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2050-gerrit-w-gong-32k-por.mp3"
4105,"spa","Gerrit W. Gong","saturday-afternoon",2024,4,1,4,"Gerrit W. Gong","/general-conference/2024/04/25gong","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2050-gerrit-w-gong-32k-spa.mp3"
4104,"eng","José L. Alonso","saturday-afternoon",2024,4,1,3,"Jesus Christ at the Center of Our Lives","/general-conference/2024/04/24alonso","https://media2.ldscdn.org/assets/general-conference/april-2024-general-conference/2024-04-2040-jose-l-alonso-32k-eng.mp3"
