"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"Dallin H. Oaks","sunday-afternoon",2019,4,4,0,"Limpios mediante el arrepentimiento","/general-conference/2019/04/51oaks","https://media2.ldscdn.org/assets/general-conference/april-2019-general-conference/2019-04-5010-dallin-h-oaks-64k-spa.mp3"
"Juan Pablo Villar","sunday-afternoon",2019,4,4,1,"Ejercitar nuestros músculos espirituales","/general-conference/2019/04/52villar","https://media2.ldscdn.org/assets/general-conference/april-2019-general-conference/2019-04-5020-juan-pablo-villar-64k-spa.mp3"
"Gerrit W. Gong","sunday-afternoon",2019,4,4,2,"Buen Pastor, Cordero de Dios","/general-conference/2019/04/53gong","https://media2.ldscdn.org/assets/general-conference/april-2019-general-conference/2019-04-5030-gerrit-w-gong-64k-spa.mp3"
"David A. Bednar","sunday-afternoon",2019,4,4,3,"Preparados para recibir cuanto fuere necesario","/general-conference/2019/04/54bednar","https://media2.ldscdn.org/assets/general-conference/april-2019-general-conference/2019-04-5040-david-a-bednar-64k-spa.mp3"
"Kyle S. McKay","sunday-afternoon",2019,4,4,4,"La cercana bondad de Dios","/general-conference/2019/04/55mckay","https://media2.ldscdn.org/assets/general-conference/april-2019-general-conference/2019-04-5050-kyle-s-mckay-64k-spa.mp3"
"Ronald A. Rasband","sunday-afternoon",2019,4,4,5,"Edificar un fuerte de espiritualidad y protección","/general-conference/2019/04/56rasband","https://media2.ldscdn.org/assets/general-conference/april-2019-general-conference/2019-04-5060-ronald-a-rasband-64k-spa.mp3"
"Russell M. Nelson","sunday-afternoon",2019,4,4,6,"Palabras de clausura","/general-conference/2019/04/57nelson","https://media2.ldscdn.org/assets/general-conference/april-2019-general-conference/2019-04-5070-russell-m-nelson-64k-spa.mp3"
"Russell M. Nelson","saturday-morning",2018,10,0,0,"Observaciones iniciales","/general-conference/2018/10/opening-remarks","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-1010-russell-m-nelson-64k-spa.mp3"
"Quentin L. Cook","saturday-morning",2018,10,0,1,"Conversión profunda y duradera al Padre Celestial y al Señor Jesucristo","/general-conference/2018/10/deep-and-lasting-conversion-to-heavenly-father-and-the-lord-jesus-christ","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-1020-quentin-l-cook-64k-spa.mp3"
"M. Joseph Brough","saturday-morning",2018,10,0,2,"Levanta la cabeza y regocíjate","/general-conference/2018/10/lift-up-your-head-and-rejoice","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-1030-m-joseph-brough-64k-spa.mp3"
"Steven R. Bangerter","saturday-morning",2018,10,0,3,"Poniendo los cimientos de una gran obra","/general-conference/2018/10/laying-the-foundation-of-a-great-work","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-1040-steven-r-bangerter-64k-spa.mp3"
"Ronald A. Rasband","saturday-morning",2018,10,0,4,"No os turbéis","/general-conference/2018/10/be-not-troubled","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-1050-ronald-a-rasband-64k-spa.mp3"
"David A. Bednar","saturday-morning",2018,10,0,5,"Reunir todas las cosas en Cristo","/general-conference/2018/10/gather-together-in-one-all-things-in-christ","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-1060-david-a-bednar-64k-spa.mp3"
"Dallin H. Oaks","saturday-morning",2018,10,0,6,"La verdad y el plan","/general-conference/2018/10/truth-and-the-plan","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-1070-dallin-h-oaks-64k-spa.mp3"
"D. Todd Christofferson","saturday-afternoon",2018,10,1,1,"Firmes e inmutables en la fe de Cristo","/general-conference/2018/10/firm-and-steadfast-in-the-faith-of-christ","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-2020-d-todd-christofferson-64k-spa.mp3"
"Dean M. Davies","saturday-afternoon",2018,10,1,2,"Dios manda a profetas","/general-conference/2018/10/come-listen-to-a-prophets-voice","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-2030-dean-m-davies-64k-spa.mp3"
"Ulisses Soares","saturday-afternoon",2018,10,1,3,"Uno en Cristo","/general-conference/2018/10/one-in-christ","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-2040-ulisses-soares-64k-spa.mp3"
