"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"Quentin L. Cook","sunday-afternoon",2008,10,4,5,"“Espero que Saiba que Foi Muito Difícil”","/general-conference/2008/10/hope-ya-know-we-had-a-hard-time","https://media2.ldscdn.org/assets/general-conference/october-2008-general-conference/2008-10-5060-elder-quentin-l-cook-64k-por.mp3"
"Thomas S. Monson","sunday-afternoon",2008,10,4,6,"Deus Vos Guarde","/general-conference/2008/10/until-we-meet-again","https://media2.ldscdn.org/assets/general-conference/october-2008-general-conference/2008-10-5070-president-thomas-s-monson-64k-por.mp3"
"Julie B. Beck","women's",2008,10,5,0,"Cumprir o Propósito da Sociedade de Socorro","/general-conference/2008/10/fulfilling-the-purpose-of-relief-society","https://media2.ldscdn.org/assets/general-relief-society-meeting/2008-general-relief-society-meeting/2008-09-0010-julie-b-beck-64k-por.mp3"
"Silvia H. Allred","women's",2008,10,5,1,"Templos Santos, Convênios Sagrados","/general-conference/2008/10/holy-temples-sacred-covenants","https://media2.ldscdn.org/assets/general-relief-society-meeting/2008-general-relief-society-meeting/2008-09-0020-silvia-h-allred-64k-por.mp3"
"Barbara Thompson","women's",2008,10,5,2,"Alegres Cantemos","/general-conference/2008/10/now-let-us-rejoice","https://media2.ldscdn.org/assets/general-relief-society-meeting/2008-general-relief-society-meeting/2008-09-0030-barbara-thompson-64k-por.mp3"
"Dieter F. Uchtdorf","women's",2008,10,5,3,"A Felicidade É Sua Herança","/general-conference/2008/10/happiness-your-heritage","https://media2.ldscdn.org/assets/general-relief-society-meeting/2008-general-relief-society-meeting/2008-09-0040-president-dieter-f-uchtdorf-64k-por.mp3"
"Russell M. Nelson","saturday-morning",2008,4,0,1,"Salvação e Exaltação","/general-conference/2008/04/salvation-and-exaltation","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-1020-elder-russell-m-nelson-64k-por.mp3"
"Ronald A. Rasband","saturday-morning",2008,4,0,2,"Experiências Especiais","/general-conference/2008/04/special-experiences","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-1030-elder-ronald-a-rasband-64k-por.mp3"
"Cheryl C. Lant","saturday-morning",2008,4,0,3,"Boas Tradições","/general-conference/2008/04/righteous-traditions","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-1040-cheryl-c-lant-64k-por.mp3"
"Kenneth Johnson","saturday-morning",2008,4,0,4,"aRestaurar a Fé na Família","/general-conference/2008/04/restoring-faith-in-the-family","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-1050-elder-kenneth-johnson-64k-por.mp3"
"Joseph B. Wirthlin","saturday-morning",2008,4,0,5,"“Preocupação pela Ovelha Perdida”","/general-conference/2008/04/concern-for-the-one","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-1060-elder-joseph-b-wirthlin-64k-por.mp3"
"Henry B. Eyring","saturday-morning",2008,4,0,6,"A Igreja Verdadeira e Viva","/general-conference/2008/04/the-true-and-living-church","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-1070-president-henry-b-eyring-64k-por.mp3"
"Dallin H. Oaks","saturday-afternoon",2008,4,1,2,"Testemunho","/general-conference/2008/04/testimony","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-2030-elder-dallin-h-oaks-64k-por.mp3"
"Robert D. Hales","saturday-afternoon",2008,4,1,3,"Obter um Testemunho de Deus, o Pai, de Seu Filho Jesus Cristo e do Espírito Santo","/general-conference/2008/04/gaining-a-testimony-of-god-the-father-his-son-jesus-christ-and-the-holy-ghost","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-2040-elder-robert-d-hales-64k-por.mp3"
"Gerald N. Lund","saturday-afternoon",2008,4,1,4,"Abrir o Coração","/general-conference/2008/04/opening-our-hearts","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-2050-elder-gerald-n-lund-64k-por.mp3"
"Carlos H. Amado","saturday-afternoon",2008,4,1,5,"Serviço, uma Qualidade Divina","/general-conference/2008/04/service-a-divine-quality","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-2060-elder-carlos-h-amado-64k-por.mp3"
"William R. Walker","saturday-afternoon",2008,4,1,6,"Três Sumos Sacerdotes Presidentes","/general-conference/2008/04/three-presiding-high-priests","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-2070-elder-william-r-walker-64k-por.mp3"
"Richard G. Scott","saturday-afternoon",2008,4,1,7,"“Como Curar as Devastadoras Conseqüências dos Maus-Tratos e do Abuso”","/general-conference/2008/04/to-heal-the-shattering-consequences-of-abuse","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-2080-elder-richard-g-scott-64k-por.mp3"
"L. Tom Perry","saturday-afternoon",2008,4,1,8,"O Evangelho de Jesus Cristo","/general-conference/2008/04/the-gospel-of-jesus-christ","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-2090-elder-l-tom-perry-64k-por.mp3"
"Quentin L. Cook","priesthood",2008,4,2,0,"Dar Ouvidos às Palavras do Profeta","/general-conference/2008/04/give-heed-unto-the-prophets-words","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-3010-elder-quentin-l-cook-64k-por.mp3"
"H. David Burton","priesthood",2008,4,2,1,"Quem É Meu Próximo?","/general-conference/2008/04/and-who-is-my-neighbor","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-3020-bishop-h-david-burton-64k-por.mp3"
"Dean R. Burgess","priesthood",2008,4,2,2,"Você Sabe Quem Você É?","/general-conference/2008/04/do-you-know-who-you-are","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-3030-dean-r-burgess-64k-por.mp3"
"John M. Madsen","priesthood",2008,4,2,3,"Um Diácono de 12 Anos","/general-conference/2008/04/a-12-year-old-deacon","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-3040-elder-john-m-madsen-64k-por.mp3"
"Dieter F. Uchtdorf","priesthood",2008,4,2,4,"Uma Questão de Poucos Graus","/general-conference/2008/04/a-matter-of-a-few-degrees","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-3050-president-dieter-f-uchtdorf-64k-por.mp3"
"Henry B. Eyring","priesthood",2008,4,2,5,"A Fé e o Juramento e Convênio do Sacerdócio","/general-conference/2008/04/faith-and-the-oath-and-covenant-of-the-priesthood","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-3060-president-henry-b-eyring-64k-por.mp3"
"Thomas S. Monson","priesthood",2008,4,2,6,"Exemplos de Retidão","/general-conference/2008/04/examples-of-righteousness","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-3070-president-thomas-s-monson-64k-por.mp3"
"Dieter F. Uchtdorf","sunday-morning",2008,4,3,0,"A Fé dos Nossos Pais","/general-conference/2008/04/faith-of-our-father","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-4010-president-dieter-f-uchtdorf-64k-por.mp3"
"D. Todd Christofferson","sunday-morning",2008,4,3,1,"Nascer de Novo","/general-conference/2008/04/born-again","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-4020-elder-d-todd-christofferson-64k-por.mp3"
"Sheldon F. Child","sunday-morning",2008,4,3,2,"O Melhor Investimento","/general-conference/2008/04/the-best-investment","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-4030-elder-sheldon-f-child-64k-por.mp3"
"Susan W. Tanner","sunday-morning",2008,4,3,3,"“Minha Alma Se Deleita nas Coisas do Senhor”","/general-conference/2008/04/my-soul-delighteth-in-the-things-of-the-lord","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-4040-susan-w-tanner-64k-por.mp3"
"Boyd K. Packer","sunday-morning",2008,4,3,4,"Os Doze","/general-conference/2008/04/the-twelve","https://media2.ldscdn.org/assets/general-conference/april-2008-general-conference/2008-04-4050-president-boyd-k-packer-64k-por.mp3"
